date,market,program_type,reward_usd,status
2026-07-17,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,0.26,PAID
2026-07-18,apdc-jerpowgov-2026-12-31,liquidityProgram,0.04,PAID
2026-07-18,cranc-uspres28-12-31-2026-dontru,liquidityProgram,0.06,PAID
2026-07-18,cranc-uspres28-12-31-2026-jdvan,liquidityProgram,0.36,PAID
2026-07-18,cranc-uspres28-12-31-2026-marrub,liquidityProgram,0.7,PAID
2026-07-18,enwc-usgubp-mich-2026-08-04-rep-mikcox,liquidityProgram,0.46,PAID
2026-07-18,enwc-usgubp-mich-2026-08-04-rep-perjoh,liquidityProgram,3.03,PAID
2026-07-18,enwc-usgubp-mn-2026-08-11-rep-kenqua,liquidityProgram,0.56,PAID
2026-07-18,enwc-usgubp-wi-2026-08-11-dem-frahon,liquidityProgram,1.16,PAID
2026-07-18,enwc-usgubp-wi-2026-08-11-dem-joebre,liquidityProgram,1.48,PAID
2026-07-18,enwc-usgubp-wi-2026-08-11-dem-kelroy,liquidityProgram,3.39,PAID
2026-07-18,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,3.25,PAID
2026-07-18,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,15.71,PAID
2026-07-18,enwc-ussep-me-2026-07-27-dem-dankle,liquidityProgram,0.1,PAID
2026-07-18,enwc-ussep-nh-2026-09-01-rep-johsun,liquidityProgram,2.84,PAID
2026-07-18,enwc-ussep-nh-2026-09-01-rep-scobro,liquidityProgram,2.05,PAID
2026-07-18,enwc-ussep-nh-2026-09-08-dem-chrpap,liquidityProgram,0.92,PAID
2026-07-18,enwc-ussep-nh-2026-09-08-dem-karman,liquidityProgram,0.95,PAID
2026-07-18,ewc-usgub-ca-2026-11-03-stehil,liquidityProgram,0.21,PAID
2026-07-18,ewc-usgub-ca-2026-11-03-xavbec,liquidityProgram,0.31,PAID
2026-07-18,lawec-saveact-2026-12-31,liquidityProgram,1.37,PAID
2026-07-18,paccc-usho-midterms-2026-11-03-rep,liquidityProgram,0.17,PAID
2026-07-18,paccc-usse-midterms-2026-11-03-dem,liquidityProgram,0.53,PAID
2026-07-18,paccc-usse-midterms-2026-11-03-rep,liquidityProgram,1.0,PAID
2026-07-18,pic-congress-trump-2026-12-31,liquidityProgram,0.31,PAID
2026-07-18,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,0.84,PAID
2026-07-18,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,0.86,PAID
2026-07-18,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,0.91,PAID
2026-07-18,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,0.84,PAID
2026-07-19,apdc-jerpowgov-2026-12-31,liquidityProgram,6.86,PAID
2026-07-19,cranc-uspres28-12-31-2026-dontru,liquidityProgram,0.03,PAID
2026-07-19,cranc-uspres28-12-31-2026-jdvan,liquidityProgram,1.14,PAID
2026-07-19,cranc-uspres28-12-31-2026-marrub,liquidityProgram,0.08,PAID
2026-07-19,enwc-usgubp-mich-2026-08-04-rep-perjoh,liquidityProgram,0.12,PAID
2026-07-19,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,3.06,PAID
2026-07-19,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,0.07,PAID
2026-07-19,enwc-ussep-me-2026-07-27-dem-trojac,liquidityProgram,0.02,PAID
2026-07-19,enwc-ussep-mi-2026-08-04-dem-abdels,liquidityProgram,1.71,PAID
2026-07-19,enwc-ussep-mi-2026-08-04-dem-halste,liquidityProgram,0.59,PAID
2026-07-19,enwc-ussep-nh-2026-09-01-rep-johsun,liquidityProgram,4.29,PAID
2026-07-19,enwc-ussep-nh-2026-09-01-rep-scobro,liquidityProgram,2.35,PAID
2026-07-19,enwc-ussep-nh-2026-09-08-dem-chrpap,liquidityProgram,1.99,PAID
2026-07-19,enwc-ussep-nh-2026-09-08-dem-karman,liquidityProgram,8.7,PAID
2026-07-19,paccc-usho-midterms-2026-11-03-dem,liquidityProgram,0.02,PAID
2026-07-19,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,0.81,PAID
2026-07-19,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,0.85,PAID
2026-07-19,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,1.46,PAID
2026-07-19,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,1.66,PAID
2026-07-20,apdc-jerpowgov-2026-12-31,liquidityProgram,2.61,PAID
2026-07-20,cranc-uspres28-12-31-2026-jonoss,liquidityProgram,0.09,PAID
2026-07-20,cranc-uspres28-12-31-2026-marrub,liquidityProgram,0.01,PAID
2026-07-20,cranc-uspres28-12-31-2026-petbut,liquidityProgram,0.1,PAID
2026-07-20,enwc-usgubp-ok-2026-06-16-rep-gendru,liquidityProgram,2.14,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-davcro,liquidityProgram,16.08,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-frahon,liquidityProgram,0.68,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-joebre,liquidityProgram,1.91,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-kelroy,liquidityProgram,3.15,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,7.28,PAID
2026-07-20,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,5.1,PAID
2026-07-20,enwc-ussep-me-2026-07-27-dem-trojac,liquidityProgram,0.23,PAID
2026-07-20,enwc-ussep-me-2026-07-27-dem-valgei,liquidityProgram,0.02,PAID
2026-07-20,enwc-ussep-mi-2026-08-04-dem-abdels,liquidityProgram,0.1,PAID
2026-07-20,enwc-ussep-mi-2026-08-04-dem-halste,liquidityProgram,0.64,PAID
2026-07-20,enwc-ussep-mn-2026-08-11-dem-angcra,liquidityProgram,0.07,PAID
2026-07-20,enwc-ussep-nh-2026-09-01-rep-johsun,liquidityProgram,3.02,PAID
2026-07-20,enwc-ussep-nh-2026-09-01-rep-scobro,liquidityProgram,8.3,PAID
2026-07-20,enwc-ussep-nh-2026-09-08-dem-chrpap,liquidityProgram,13.87,PAID
2026-07-20,enwc-ussep-nh-2026-09-08-dem-karman,liquidityProgram,28.84,PAID
2026-07-20,ewc-usgub-ca-2026-11-03-xavbec,liquidityProgram,2.17,PAID
2026-07-20,ewc-usgub-ga-2026-11-03-dem,liquidityProgram,0.49,PAID
2026-07-20,ewc-usmayor-losang-2026-11-03-karbas,liquidityProgram,0.24,PAID
2026-07-20,ewc-usmayor-losang-2026-11-03-nitram,liquidityProgram,0.37,PAID
2026-07-20,mowc-nato-us-12-31-2026,liquidityProgram,0.37,PAID
2026-07-20,tac-oscars-03-14-2027-bestpic-digger,liquidityProgram,0.28,PAID
2026-07-20,tac-oscars-03-14-2027-bestpic-odysse,liquidityProgram,0.32,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-els0-5,liquidityProgram,0.65,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-els10-15,liquidityProgram,1.12,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,0.52,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-els5-10,liquidityProgram,0.97,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,0.63,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-ste0-5,liquidityProgram,0.16,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-ste05-10,liquidityProgram,0.97,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-ste10-15,liquidityProgram,1.43,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,0.81,PAID
2026-07-20,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,0.8,PAID
2026-07-21,enwc-usgubp-ok-2026-06-16-rep-gendru,liquidityProgram,0.25,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-davcro,liquidityProgram,25.6,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-frahon,liquidityProgram,4.48,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-joebre,liquidityProgram,5.39,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-kelroy,liquidityProgram,5.57,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,5.24,PAID
2026-07-21,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,8.38,PAID
2026-07-21,enwc-ussep-me-2026-07-27-dem-dankle,liquidityProgram,0.01,PAID
2026-07-21,enwc-ussep-me-2026-07-27-dem-jorwoo,liquidityProgram,0.02,PAID
2026-07-21,enwc-ussep-me-2026-07-27-dem-nirsha,liquidityProgram,0.02,PAID
2026-07-21,enwc-ussep-me-2026-07-27-dem-shebel,liquidityProgram,0.02,PAID
2026-07-21,enwc-ussep-nh-2026-09-01-rep-scobro,liquidityProgram,2.44,PAID
2026-07-21,enwc-ussep-nh-2026-09-08-dem-chrpap,liquidityProgram,0.06,PAID
2026-07-21,enwc-ussep-nh-2026-09-08-dem-karman,liquidityProgram,4.48,PAID
2026-07-21,ewc-usgub-wi-2026-11-03-rep,liquidityProgram,0.33,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-els0-5,liquidityProgram,3.14,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-els10-15,liquidityProgram,2.25,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,0.24,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-els5-10,liquidityProgram,3.06,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,5.26,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-ste0-5,liquidityProgram,2.9,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-ste05-10,liquidityProgram,3.35,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-ste10-15,liquidityProgram,5.19,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,0.19,PAID
2026-07-21,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,3.57,PAID
2026-07-22,apdc-alito-2026-08-31,liquidityProgram,6.12,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-davcro,liquidityProgram,9.6,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-frahon,liquidityProgram,5.58,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-joebre,liquidityProgram,4.65,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-kelroy,liquidityProgram,4.39,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,0.41,PAID
2026-07-22,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,2.23,PAID
2026-07-22,enwc-ussep-mi-2026-08-04-dem-halste,liquidityProgram,0.83,PAID
2026-07-22,enwc-ussep-sc-2026-08-11-rep-darnor,liquidityProgram,8.38,PAID
2026-07-22,enwc-ussep-sc-2026-08-11-rep-nanmac,liquidityProgram,0.7,PAID
2026-07-22,enwc-ussep-sc-2026-08-11-rep-ralnor,liquidityProgram,2.39,PAID
2026-07-22,enwc-ussep-sc-2026-08-11-rep-rusfry,liquidityProgram,0.88,PAID
2026-07-22,tec-nba-eastconf-2027-05-19-w-mil,liquidityProgram,0.01,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-els0-5,liquidityProgram,1.57,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-els10-15,liquidityProgram,1.48,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,4.28,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-els5-10,liquidityProgram,1.21,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,6.57,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-ste0-5,liquidityProgram,4.66,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-ste05-10,liquidityProgram,1.64,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-ste10-15,liquidityProgram,8.58,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,2.94,PAID
2026-07-22,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,3.85,PAID
2026-07-23,apdc-alito-2026-12-31,liquidityProgram,11.83,PAID
2026-07-23,apdc-jerpowgov-2026-12-31,liquidityProgram,20.25,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-davcro,liquidityProgram,5.81,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-frahon,liquidityProgram,3.0,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-joebre,liquidityProgram,13.64,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-kelroy,liquidityProgram,11.08,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-manbar,liquidityProgram,2.4499999999999997,PAID
2026-07-23,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,5.029999999999999,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-alawil,liquidityProgram,0.65,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-andbau,liquidityProgram,0.63,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-darnor,liquidityProgram,9.33,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-joewil,liquidityProgram,0.68,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-marlyn,liquidityProgram,15.64,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-nanmac,liquidityProgram,0.38,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-pameve,liquidityProgram,0.65,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-paudan,liquidityProgram,0.64,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-ralnor,liquidityProgram,4.869999999999999,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-rusfry,liquidityProgram,7.0,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-tregow,liquidityProgram,12.059999999999999,PAID
2026-07-23,enwc-ussep-sc-2026-08-11-rep-wiltim,liquidityProgram,0.7,PAID
2026-07-23,scc-hrep-rep-2026-11-03-gte180,liquidityProgram,2.21,PAID
2026-07-23,scc-hrep-rep-2026-11-03-gte185,liquidityProgram,1.37,PAID
2026-07-23,scc-hrep-rep-2026-11-03-gte190,liquidityProgram,1.36,PAID
2026-07-23,scc-hrep-rep-2026-11-03-gte195,liquidityProgram,1.37,PAID
2026-07-23,scc-hrep-rep-2026-11-03-gte210,liquidityProgram,4.19,PAID
2026-07-23,scc-senate-gop-2026-11-03-46,liquidityProgram,0.29,PAID
2026-07-23,scc-senate-gop-2026-11-03-47,liquidityProgram,0.3,PAID
2026-07-23,scc-senate-gop-2026-11-03-48,liquidityProgram,0.32,PAID
2026-07-23,scc-senate-gop-2026-11-03-49,liquidityProgram,0.38,PAID
2026-07-23,scc-senate-gop-2026-11-03-50,liquidityProgram,0.3,PAID
2026-07-23,scc-senate-gop-2026-11-03-51,liquidityProgram,0.38,PAID
2026-07-23,scc-senate-gop-2026-11-03-52,liquidityProgram,0.36,PAID
2026-07-23,scc-senate-gop-2026-11-03-53,liquidityProgram,0.37,PAID
2026-07-23,scc-senate-gop-2026-11-03-54,liquidityProgram,0.39,PAID
2026-07-23,scc-senate-gop-2026-11-03-55,liquidityProgram,0.44,PAID
2026-07-23,scc-senate-gop-2026-11-03-56,liquidityProgram,0.3,PAID
2026-07-23,scc-senate-gop-2026-11-03-lte45,liquidityProgram,0.37,PAID
2026-07-23,stsc-hormuz-normal-aug31,liquidityProgram,0.01,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-els0-5,liquidityProgram,14.219999999999999,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-els10-15,liquidityProgram,2.56,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-els15-20,liquidityProgram,8.85,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-els5-10,liquidityProgram,2.6,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-elsgte20,liquidityProgram,9.96,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-ste0-5,liquidityProgram,3.13,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-ste05-10,liquidityProgram,11.14,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-ste10-15,liquidityProgram,16.08,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-ste15-20,liquidityProgram,9.370000000000001,PAID
2026-07-23,vmc-ussep-misen-2026-08-04-stegte20,liquidityProgram,8.690000000000001,PAID
2026-07-24,apdc-alito-2026-07-31,liquidityProgram,0.06,PAID
2026-07-24,apdc-alito-2026-08-31,liquidityProgram,2.86,PAID
2026-07-24,apdc-alito-2026-12-31,liquidityProgram,2.12,PAID
2026-07-24,apdc-jerpowgov-2026-07-31,liquidityProgram,0.02,PAID
2026-07-24,apdc-jerpowgov-2026-08-31,liquidityProgram,0.25,PAID
2026-07-24,apdc-jerpowgov-2026-12-31,liquidityProgram,1.99,PAID
2026-07-24,dipcc-us-iran-contnts-2026--enrcaplte5,liquidityProgram,0.25,PAID
2026-07-24,dipcc-us-iran-contnts-2026--irnfnd,liquidityProgram,0.37,PAID
2026-07-24,dipcc-us-iran-contnts-2026--urnsur,liquidityProgram,0.08,PAID
2026-07-24,enwc-usgubp-wi-2026-08-11-dem-davcro,liquidityProgram,0.07,PAID
2026-07-24,enwc-usgubp-wi-2026-08-11-dem-sarrod,liquidityProgram,0.14,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-alawil,liquidityProgram,3.1,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-andbau,liquidityProgram,3.1,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-darnor,liquidityProgram,3.94,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-joewil,liquidityProgram,3.04,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-marlyn,liquidityProgram,5.65,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-nanmac,liquidityProgram,2.28,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-pameve,liquidityProgram,1.7,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-paudan,liquidityProgram,3.16,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-ralnor,liquidityProgram,3.13,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-rusfry,liquidityProgram,0.58,PAID
2026-07-24,enwc-ussep-sc-2026-08-11-rep-tregow,liquidityProgram,0.93,PAID
